1/1/2014, Time: 13:00 HRS IST, NIL Warning  
2/1/2014, Time: 13:00 HRS IST, NIL Warning  
2/1/2014, Time: 13:00 HRS IST, NIL Warning  
6/1/2014, Time: 13:00 HRS IST, NIL Warning  
3/1/2014, Time: 13:00 HRS IST, NIL Warning  
7/1/2014, Time: 13:00 HRS IST, NIL Warning  
8/1/2014, Time: 13:00 HRS IST, NIL Warning  
9/1/2014, Time: 13:00 HRS IST, NIL Warning  
10/1/2014, Time: 13:00 HRS IST, NIL Warning  
11/1/2014, Time: 13:00 HRS IST, NIL Warning  
13/1/2014, Time: 13:00 HRS IST, NIL Warning  
14/1/2014, Time: 13:00 HRS IST, NIL Warning  
15/1/2014, Time: 13:00 HRS IST, NIL Warning  
17/1/2014, Time: 13:00 HRS IST, NIL Warning  
20/1/2014, Time: 13:00 HRS IST, NIL Warning  
21/1/2014, Time: 13:00 HRS IST, NIL Warning  
22/1/2014, Time: 13:00 HRS IST, NIL Warning  
23/1/2014, Time: 13:00 HRS IST, NIL Warning  
24/1/2014, Time: 13:00 HRS IST, NIL Warning  
27/1/2014, Time: 13:00 HRS IST, NIL Warning  
28/1/2014, Time: 13:00 HRS IST, NIL Warning  
29/1/2014, Time: 13:00 HRS IST, NIL Warning  
31/1/2014, Time: 13:00 HRS IST, NIL Warning  
1/2/2014, Time: 13:00 HRS IST, NIL Warning  
4/2/2014, Time: 13:00 HRS IST, NIL Warning  
5/2/2014, Time: 13:00 HRS IST, NIL Warning  
6/2/2014, Time: 13:00 HRS IST, NIL Warning  
7/2/2014, Time: 13:00 HRS IST, NIL Warning  
8/2/2014, Time: 13:00 HRS IST, NIL Warning  
10/2/2014, Time: 13:00 HRS IST, NIL Warning  
12/2/2014, Time: 13:00 HRS IST, NIL Warning  
13/2/2014, Time: 13:00 HRS IST, NIL Warning  
14/2/2014, Time: 13:00 HRS IST, NIL Warning  
15/2/2014, Time: 13:00 HRS IST, NIL Warning  
16/2/2014, Time: 13:00 HRS IST, NIL Warning  
17/2/2014, Time: 13:00 HRS IST, NIL Warning  
18/2/2014, Time: 13:00 HRS IST, NIL Warning  
19/2/2014, Time: 13:00 HRS IST, NIL Warning  
20/2/2014, Time: 13:00 HRS IST, NIL Warning  
21/2/2014, Time: 13:00 HRS IST, NIL Warning  
22/2/2014, Time: 13:00 HRS IST, NIL Warning  
23/2/2014, Time: 13:00 HRS IST, NIL Warning  
24/2/2014, Time: 13:00 HRS IST, NIL Warning  
25/2/2014, Time: 13:00 HRS IST, NIL Warning  
26/2/2014, Time: 13:00 HRS IST, NIL Warning  
27/2/2014, Time: 13:00 HRS IST, NIL Warning  
28/2/2014, Time: 13:00 HRS IST, NIL Warning  
3/3/2014, Time: 13:00 HRS IST, NIL Warning  
4/3/2014, Time: 13:00 HRS IST, NIL Warning  
5/3/2014, Time: 13:00 HRS IST, NIL Warning  
6/3/2014, Time: 13:00 HRS IST, NIL Warning  
7/3/2014, Time: 13:00 HRS IST, NIL Warning  
8/3/2014, Time: 13:00 HRS IST, NIL Warning  
9/3/2014, Time: 13:00 HRS IST, NIL Warning  
10/3/2014, Time: 13:00 HRS IST, NIL Warning  
11/3/2014, Time: 13:00 HRS IST, NIL Warning  
12/3/2014, Time: 13:00 HRS IST, NIL Warning  
13/3/2014, Time: 13:00 HRS IST, NIL Warning  
14/3/2014, Time: 13:00 HRS IST, NIL Warning  
15/3/2014, Time: 13:00 HRS IST, NIL Warning  
16/3/2014, Time: 13:00 HRS IST, NIL Warning  
17/3/2014, Time: 13:00 HRS IST, NIL Warning  
18/3/2014, Time: 08:30 HRS IST, NIL Warning  
19/3/2014, Time: 13:00 HRS IST, NIL Warning  
20/3/2014, Time: 13:00 HRS IST, NIL Warning  
21/3/2014, Time: 13:00 HRS IST, NIL Warning  
22/3/2014, Time: 13:00 HRS IST, NIL Warning  
23/3/2014, Time: 13:00 HRS IST, NIL Warning  
25/3/2014, Time: 13:00 HRS IST, NIL Warning  
26/3/2014, Time: 13:00 HRS IST, NIL Warning  
27/3/2014, Time: 13:00 HRS IST, NIL Warning  
28/3/2014, Time: 13:00 HRS IST, NIL Warning  
30/3/2014, Time: 13:00 HRS IST, NIL Warning  
1/4/2014, Time: 13:00 HRS IST, NIL Warning  
2/4/2014, Time: 13:00 HRS IST, NIL Warning  
3/4/2014, Time: 13:00 HRS IST, NIL Warning  
4/4/2014, Time: 13:00 HRS IST, NIL Warning  
5/4/2014, Time: 13:00 HRS IST, NIL Warning  
8/4/2014, Time: 13:00 HRS IST, NIL Warning  
9/4/2014, Time: 13:00 HRS IST, NIL Warning  
10/4/2014, Time: 13:00 HRS IST, NIL Warning  
10/4/2014, Time: 13:00 HRS IST, NIL Warning  
12/4/2014, Time: 13:00 HRS IST, NIL Warning  
13/4/2014, Time: 13:00 HRS IST, NIL Warning  
14/4/2014, Time: 13:00 HRS IST, NIL Warning  
15/4/2014, Time: 13:00 HRS IST, NIL Warning  
16/4/2014, Time: 13:00 HRS IST, NIL Warning  
18/4/2014, Time: 13:00 HRS IST, NIL Warning  
19/4/2014, Time: 13:00 HRS IST, NIL Warning  
20/4/2014, Time: 13:00 HRS IST, NIL Warning  
21/4/2014, Time: 13:00 HRS IST, NIL Warning  
23/4/2014, Time: 13:00 HRS IST, NIL Warning  
24/4/2014, Time: 13:00 HRS IST, NIL Warning  
25/4/2014, Time: 13:00 HRS IST, NIL Warning  
26/4/2014, Time: 13:00 HRS IST, NIL Warning  
27/4/2014, Time: 13:00 HRS IST, NIL Warning  
28/4/2014, Time: 13:00 HRS IST, NIL Warning  
29/4/2014, Time: 13:00 HRS IST, NIL Warning  
2/5/2014, Time: 13:00 HRS IST, NIL Warning  
3/5/2014, Time: 13:00 HRS IST, NIL Warning  
4/5/2014, Time: 13:00 HRS IST, NIL Warning  
5/5/2014, Time: 13:00 HRS IST, NIL Warning  
6/5/2014, Time: 13:00 HRS IST, NIL Warning  
7/5/2014, Time: 13:00 HRS IST, NIL Warning  
8/5/2014, Time: 13:00 HRS IST, NIL Warning  
9/5/2014, Time: 13:00 HRS IST, NIL Warning  
10/5/2014, Time: 13:00 HRS IST, NIL Warning  
11/5/2014, Time: 13:00 HRS IST, NIL Warning  
12/5/2014, Time: 13:00 HRS IST, NIL Warning  
13/5/2014, Time: 13:00 HRS IST, NIL Warning  
17/5/2014, Time: 13:00 HRS IST, NIL Warning  
18/5/2014, Time: 13:00 HRS IST, NIL Warning  
19/5/2014, Time: 13:00 HRS IST, NIL Warning  
20/5/2014, Time: 13:00 HRS IST, NIL Warning  
21/5/2014, Time: 13:00 HRS IST, NIL Warning  
22/5/2014, Time: 13:00 HRS IST, NIL Warning  
24/5/2014, Time: 13:00 HRS IST, NIL Warning  
25/5/2014, Time: 13:00 HRS IST, NIL Warning  
26/5/2014, Time: 13:00 HRS IST, NIL Warning  
27/5/2014, Time: 13:00 HRS IST, NIL Warning  
28/5/2014, Time: 13:00 HRS IST, NIL Warning  
29/5/2014, Time: 13:00 HRS IST, NIL Warning  
30/5/2014, Time: 13:00 HRS IST, NIL Warning  
31/5/2014, Time: 13:00 HRS IST, NIL Warning  
1/6/2014, Time: 13:00 HRS IST, NIL Warning  
2/6/2014, Time: 13:00 HRS IST, NIL Warning  
3/6/2014, Time: 13:00 HRS IST, NIL Warning  
4/6/2014, Time: 13:00 HRS IST, NIL Warning  
5/6/2014, Time: 13:00 HRS IST, NIL Warning  
5/6/2014, Time: 13:00 HRS IST, NIL Warning  
6/6/2014, Time: 13:00 HRS IST, NIL Warning  
7/6/2014, Time: 13:00 HRS IST, NIL Warning  
8/6/2014, Time: 13:00 HRS IST, NIL Warning  
9/6/2014, Time: 13:00 HRS IST, NIL Warning  
10/6/2014, Time: 13:00 HRS IST, NIL Warning  
12/6/2014, Time: 13:00 HRS IST, NIL Warning  
13/6/2014, Time: 13:00 HRS IST, NIL Warning  
15/06/2014,Time: 1300 HRS,"HEAVY RAINFALL WOULD OCCUR AT ISOLATED PLACES IN THE DISTR, RICTS OF MUMBAI, THANE, RAIGAD, RATNAGIRI , SINDHUDURG AND STATE OF GOA DURING NEXT 48 HOURS."
16/06/2014,Time: 1300 HRS,"HEAVY RAINFALL WOULD OCCUR AT ISOLATED PLACES IN THE DISTR, RICTS OF MUMBAI, THANE, RAIGAD, RATNAGIRI , SINDHUDURG AND STATE OF GOA DURING NEXT 48 HOURS."
17/06/2014,Time: 1300 HRS,"HEAVY RAINFALL WOULD OCCUR AT ISOLATED PLACES IN THE DISTR, RICTS OF THANE, RAIGAD, RATNAGIRI , SINDHUDURG AND STATE OF GOA (EXCLUDING GREATER MUMBAI) DURING NEXT 72 HOURS."
18/6/2014, Time: 13:00 HRS IST, NIL Warning  
20/06/2014,Time: 1300 HRSHEAVY RAINFALL WOULD OCCUR AT ISOLATED PLACES IN THE DISTR,"RICTS OF RATNAGIRI , SINDHUDURG AND STATE OF GOA DURING NEXT 24 HOURS."
21/6/2014, Time: 13:00 HRS IST, NIL Warning  
22/6/2014, Time: 13:00 HRS IST, NIL Warning  
23/6/2014, Time: 13:00 HRS IST, NIL Warning  
25/6/2014, Time: 13:00 HRS IST, NIL Warning  
27/6/2014, Time: 13:00 HRS IST, NIL Warning  
28/6/2014, Time: 13:00 HRS IST, NIL Warning  
29/6/2014, Time: 13:00 HRS IST, NIL Warning  
30/6/2014, Time: 13:00 HRS IST, NIL Warning  
1/7/2014, Time: 13:00 HRS IST, NIL Warning  
03/07/2014,Time: 1300 HRS,"HEAVY RAINFALL WOULD OCCUR AT ISOLATED PLACES IN THE DISTR, RICTS OF THANE, RAIGAD, GREATER MUMBAI, RATNAGIRI, SINDHUDURG AND GOA DURING NEXT 48 HOURS."
02/07/2014,Time: 1500 HRS,"HEAVY RAINFALL WOULD OCCUR AT ISOLATED PLACES IN THE DISTR, RICTS OF THANE, RAIGAD, GREATER MUMBAI, RATNAGIRI, SINDHUDURG AND GOA DURING NEXT 24 HOURS."
07/07/2014,Time: 1300 HRS,"HEAVY RAINFALL WOULD OCCUR AT ISOLATED PLACES IN THE DISTR, RICTS OFTHANE, RAIGAD, (EXCLUDING MUMBAI), RATNAGIRI, SINDHUDURG AND STATE OF GOA FROM THE MORNING'S OF 9TH JULY FOR NEXT 24 HOURS."
08/07/2014,Time: 1300 HRS,"HEAVY RAINFALL WOULD OCCUR AT ISOLATED PLACES IN THE DISTR, RICTS OFTHANE, RAIGAD, RATNAGIRI, SINDHUDURG AND STATE OF GOA DURING NEXT 48 HRS.HEAVY TO VERY HEAVY RAINFALL WOULD OCCUR AT ISOLATED PLACES IN THE DISTRICTS OF MUMBAI, THANE, RAIGAD AND RATNAGIRI, SINDHUDURG FOR NEXT 24 HOURS FROM THE MORNING'S 10-07-2014."
09/07/2014,Time: 1300 HRS,"HEAVY RAINFALL WOULD OCCUR AT ISOLATED PLACES IN THE DISTR, RICTS OFTHANE, RAIGAD, RATNAGIRI, SINDHUDURG AND STATE OF GOA DURING NEXT 24 HRS.HEAVY TO VERY HEAVY RAINFALL WOULD OCCUR AT ISOLATED PLACES IN THE DISTRICTS OF THANE, RAIGAD AND RATNAGIRI, SINDHUDURG AND STATE OF GOA FOR NEXT 24 HOURS FROM THE MORNING'S 10-07-2014 AND AT A FEW PLACES DURING NEXT 24 HOURS FROM THE MORNING OF 11-07-2014"
09/07/2014,Time: 1500 HRS,"HEAVY RAINFALL WOULD OCCUR AT ISOLATED PLACES IN THE DISTR, RICTS OF GREATER MUMBAI,THANE, RAIGAD, RATNAGIRI, SINDHUDURG AND         STATE OF GOA DURING NEXT 24 HRS.HEAVY TO VERY HEAVY RAINFALL WOULD OCCUR AT ISOLATED PLACES IN THE DISTRICTS OF TTHANE, RAIGAD, RATNAGIRI, SINDHUDURG AND STATE OF         GOADURING NEXT 24 HOURS FROM THE MORNING'S 10-07-2014 HEAVY TO VERY HEAVY RAINFALL WOULD OCCUR AT A FEW PLACES IN THE DISTRICTS OF THANE, RAIGAD, RATNAGIRI, SINDHUDURG AND STATE OF GOA DURING 24 HOURS FROM THE MORNING OF 11-07-2014."
10/07/2014,Time: 1300 HRS,"HEAVY TO VERY HEAVY RAINFALL WOULD OCCUR AT A FEW PLACES IN THE DISTR, RICTS OF GREATER MUMBAI, THANE, RAIGAD, RATNAGIRI, SINDHUDURG AND STATE OF GOA DURING NEXT 48 HRS.HEAVY RAINFALL WOULD OCCUR AT ISOLATED PLACES IN THE DISTRICTS OF THANE, RAIGAD AND RATNAGIRI, SINDHUDURG AND STATE OF GOA FOR NEXT 24 HOURS FROM THE MORNING'S 12-07-2014 ."
11/07/2014,Time: 1300 HRS,"HEAVY TO VERY HEAVY RAINFALL WOULD OCCUR AT A FEW PLACES IN THE DISTR, RICTS OF GREATER MUMBAI, THANE, RAIGAD, RATNAGIRI, SINDHUDURG AND STATE OF GOA DURING NEXT 24 HRS.HEAVY TO VERY RAINFALL WOULD OCCUR AT ISOLATED PLACES IN THE DISTRICTS OF GREATER MUMBAI ,THANE, RAIGAD AND RATNAGIRI, SINDHUDURG AND STATE OF GOA FOR NEXT 24 HOURS FROM THE MORNING'S 12-07-2014 .HEAVY TO VERY RAINFALL WOULD OCCUR AT ISOLATED PLACES IN THE DISTRICTS OF THANE, RAIGAD, RATNAGIRI, SINDHUDURG AND STATE OF GOA (EXCLUDING GREATER MUMBAI) FOR NEXT 24 HOURS FROM THE MORNING'S 13-07-2014 ."
12/07/2014,Time: 1300 HRS,"HEAVY TO VERY HEAVY RAINFALL WOULD OCCUR AT ISOLATED PLACES IN THE DISTR, RICTS OF GREATER MUMBAI, THANE, RAIGAD, RATNAGIRI, SINDHUDURG AND STATE OF GOA DURING NEXT 48 HRS.HEAVY RAINFALL WOULD OCCUR AT ISOLATED PLACES IN THE DISTRICTS OF GREATER MUMBAI ,THANE, RAIGAD AND RATNAGIRI, SINDHUDURG AND STATE OF GOA FOR NEXT 24 HOURS FROM THE MORNING OF 14-07-2014 ."
13/07/2014,Time: 1300 HRS,"HEAVY TO VERY HEAVY RAINFALL WOULD OCCUR AT ISOLATED PLACES IN THE DISTR, RICTS OF THANE, RAIGAD, RATNAGIRI, SINDHUDURG AND STATE OF GOA DURING NEXT 72 HRS.HEAVY RAINFALL WOULD OCCUR AT ISOLATED PLACES IN THE DISTRICTS OF GREATER MUMBAI DURING NEXT 48 HOURS FROM THE MORNING OF 14-07-2014 .HEAVY RAINFALL WOULD OCCUR AT ISOLATED PLACES OVER VIDARBHA DURING NEXT 72 HRS ."
14/07/2014,Time: 1300 HRS,"HEAVY TO VERY HEAVY RAINFALL WOULD OCCUR AT ISOLATED PLACES IN THE DISTR, RICTS OF THANE, RAIGAD, RATNAGIRI, SINDHUDURG AND STATE OF GOA DURING NEXT 48 HRS.HEAVY RAINFALL WOULD OCCUR AT ISOLATED PLACES IN THE DISTRICTS OF GREATER MUMBAI,THANE, RAIGAD,RATNAGIRI ,SINDHUDURG AND STATE OF GOA DURING 24 HRS FROM THE MORNING 16TH JULY 2014."
15/07/2014,Time: 1300 HRS,"HEAVY TO VERY HEAVY RAINFALL WOULD OCCUR AT ISOLATED PLACES IN THE DISTR, RICTS OF  THANE, RAIGAD, RATNAGIRI, SINDHUDURG AND STATE OF GOA DURING NEXT 48 HRS.HEAVY RAINFALL WOULD OCCUR AT ISOLATED PLACES IN THE DISTRICTS OF THANE, RAIGAD, RATNAGIRI ,SINDHUDURG AND STATE OF GOA DURING 24 HRS FROM THE MORNING 17TH JULY 2014."
15/07/2014,Time: 1600 HRS,"HEAVY TO VERY HEAVY RAINFALL WOULD OCCUR AT ISOLATED PLACES IN THE DISTR, RICTS OF GREATER MUMBAI DURING NEXT 24 HOURS.HEAVY TO VERY HEAVY RAINFALL WOULD OCCUR AT ISOLATED PLACES IN THE DISTRICTS OF  THANE, RAIGAD, RATNAGIRI, SINDHUDURG AND STATE OF GOA DURING NEXT 48 HRS.HEAVY RAINFALL WOULD OCCUR AT ISOLATED PLACES IN THE DISTRICTS OF THANE, RAIGAD, RATNAGIRI ,SINDHUDURG AND STATE OF GOA DURING 24 HRS FROM THE MORNING 17TH JULY 2014."
16/07/2014,Time: 1300 HRS,"HEAVY TO VERY HEAVY RAINFALL WOULD OCCUR AT ISOLATED PLACES IN THE DISTR, RICTS OF  GREATER MUMBAI THANE, RAIGAD, RATNAGIRI, SINDHUDURG AND STATE OF GOA DURING NEXT 36 HRS.HEAVY RAINFALL WOULD OCCUR AT ISOLATED PLACES IN THE DISTRICTS OF THANE, RAIGAD, RATNAGIRI ,SINDHUDURG AND STATE OF GOA DURING 24 HRS FROM THE MORNING 17TH JULY 2014."
17/07/2014,Time: 1300 HRS,"HEAVY TO VERY HEAVY RAINFALL WOULD OCCUR AT ISOLATED PLACES IN THE DISTR, RICTS OF GREATER MUMBAI, THANE,RAIGAD, RATNAGIRI, SINDHUDURG AND STATE OF GOA DURING NEXT 24 HRS.HEAVY RAINFALL WOULD OCCUR AT ISOLATED PLACES IN THE DISTRICTS OF THANE, RAIGAD, RATNAGIRI ,SINDHUDURG AND STATE OF GOA DURING 48 HRS FROM THE MORNING 18TH JULY 2014."
